,book,id,level,level_label,seed,word,word_count
0,Gospel of Buddha,0,0,Level 0,god,god,16
1,Gospel of Buddha,1,1,Level 1,god,personal,5
2,Gospel of Buddha,2,2,Level 2,god,title,0
3,Gospel of Buddha,4,2,Level 2,god,london,0
4,Gospel of Buddha,5,2,Level 2,god,created,0
5,Gospel of Buddha,6,2,Level 2,god,chinese,0
6,Gospel of Buddha,7,1,Level 1,god,tyrant,5
7,Gospel of Buddha,8,2,Level 2,god,hunter,0
8,Gospel of Buddha,9,2,Level 2,god,hungry,0
9,Gospel of Buddha,10,2,Level 2,god,satisfy,0
10,Gospel of Buddha,11,2,Level 2,god,dog,0
11,Gospel of Buddha,12,2,Level 2,god,assuming,0
12,Gospel of Buddha,13,1,Level 1,god,tempter,5
13,Gospel of Buddha,14,2,Level 2,god,certainly,0
14,Gospel of Buddha,15,2,Level 2,god,else,0
15,Gospel of Buddha,16,2,Level 2,god,idle,0
16,Gospel of Buddha,18,2,Level 2,god,layman,0
17,Gospel of Buddha,19,1,Level 1,god,rolling,5
18,Gospel of Buddha,20,2,Level 2,god,set,0
19,Gospel of Buddha,21,2,Level 2,god,point,0
20,Gospel of Buddha,22,2,Level 2,god,moved,0
21,Gospel of Buddha,23,2,Level 2,god,wheel,0
22,Gospel of Buddha,24,2,Level 2,god,cripple,0
23,Gospel of Buddha,25,1,Level 1,god,rank,8
24,Gospel of Buddha,26,2,Level 2,god,xiv,0
25,Gospel of Buddha,27,2,Level 2,god,appointed,0
26,Gospel of Buddha,29,2,Level 2,god,prominent,0
27,Gospel of Buddha,30,2,Level 2,god,buddhistic,0
28,Gita,0,0,Level 0,god,god,25
29,Gita,1,1,Level 1,god,revealed,6
30,Gita,2,2,Level 2,god,serve,0
31,Gita,3,2,Level 2,god,shining,0
32,Gita,4,2,Level 2,god,secret,0
33,Gita,5,2,Level 2,god,manifold,0
34,Gita,7,1,Level 1,god,pritha,9
35,Gita,8,2,Level 2,god,tamas,0
36,Gita,9,2,Level 2,god,son,0
37,Gita,10,2,Level 2,god,splendour,0
38,Gita,11,2,Level 2,god,gaze,0
39,Gita,12,2,Level 2,god,saying,0
40,Gita,13,1,Level 1,god,gaze,6
41,Gita,15,2,Level 2,god,seems,0
42,Gita,16,2,Level 2,god,clear,0
43,Gita,17,2,Level 2,god,shines,0
44,Gita,18,2,Level 2,god,intent,0
45,Gita,19,1,Level 1,god,eternal,12
46,Gita,20,2,Level 2,god,name,0
47,Gita,21,2,Level 2,god,highest,0
48,Gita,23,2,Level 2,god,worshipping,0
49,Gita,24,2,Level 2,god,days,0
50,Gita,25,1,Level 1,god,days,6
51,Gita,26,2,Level 2,god,slayer,0
52,Gita,27,2,Level 2,god,ancient,0
53,Gita,28,2,Level 2,god,dread,0
54,Gita,29,2,Level 2,god,nigh,0
55,Gita,30,2,Level 2,god,bright,0
56,King James Bible,0,0,Level 0,god,god,4467
57,King James Bible,1,1,Level 1,god,lord,7944
58,King James Bible,3,2,Level 2,god,israel,0
59,King James Bible,4,2,Level 2,god,hosts,0
60,King James Bible,5,2,Level 2,god,saying,0
61,King James Bible,6,2,Level 2,god,people,0
62,King James Bible,7,1,Level 1,god,truth,237
63,King James Bible,9,2,Level 2,god,righteousness,0
64,King James Bible,10,2,Level 2,god,christ,0
65,King James Bible,11,2,Level 2,god,jesus,0
66,King James Bible,12,2,Level 2,god,salvation,0
67,King James Bible,13,1,Level 1,god,salvation,164
68,King James Bible,16,2,Level 2,god,shield,0
69,King James Bible,17,2,Level 2,god,hope,0
70,King James Bible,18,2,Level 2,god,strength,0
71,King James Bible,19,1,Level 1,god,christ,570
72,King James Bible,21,2,Level 2,god,grace,0
73,King James Bible,22,2,Level 2,god,gospel,0
74,King James Bible,23,2,Level 2,god,faith,0
75,King James Bible,24,2,Level 2,god,saviour,0
76,King James Bible,25,1,Level 1,god,spirit,505
77,King James Bible,27,2,Level 2,god,naioth,0
78,King James Bible,29,2,Level 2,god,overwhelmed,0
79,King James Bible,30,2,Level 2,god,mind,0
80,Quran,0,0,Level 0,god,god,3275
81,Quran,1,1,Level 1,god,lord,944
82,Quran,2,2,Level 2,god,thy,0
83,Quran,4,2,Level 2,god,'',0
84,Quran,5,2,Level 2,god,``,0
85,Quran,6,2,Level 2,god,-he,0
86,Quran,7,1,Level 1,god,earth,411
87,Quran,8,2,Level 2,god,heavens,0
88,Quran,9,2,Level 2,god,heaven,0
89,Quran,12,2,Level 2,god,praiseth,0
90,Quran,13,1,Level 1,god,'',1697
91,Quran,16,2,Level 2,god,people,0
92,Quran,18,2,Level 2,god,surely,0
93,Quran,19,1,Level 1,god,praiseth,5
94,Quran,20,2,Level 2,god,mecca.-8,0
95,Quran,21,2,Level 2,god,maker,0
96,Quran,22,2,Level 2,god,ordinance,0
97,Quran,23,2,Level 2,god,ha,0
98,Quran,25,1,Level 1,god,believe,449
99,Quran,26,2,Level 2,god,sent,0
100,Quran,27,2,Level 2,god,mim.2,0
101,Quran,29,2,Level 2,god,lucid,0
102,Quran,30,2,Level 2,god,right,0
103,Mahabharata,0,0,Level 0,god,god,450
104,Mahabharata,1,1,Level 1,god,deity,110
105,Mahabharata,3,2,Level 2,god,supreme,0
106,Mahabharata,4,2,Level 2,god,boon-giving,0
107,Mahabharata,5,2,Level 2,god,vayu,0
108,Mahabharata,6,2,Level 2,god,presiding,0
109,Mahabharata,7,1,Level 1,god,siva,50
110,Mahabharata,9,2,Level 2,god,rudra,0
111,Mahabharata,10,2,Level 2,god,pinaka,0
112,Mahabharata,11,2,Level 2,god,uma,0
113,Mahabharata,12,2,Level 2,god,vishnu,0
114,Mahabharata,13,1,Level 1,god,rudra,73
115,Mahabharata,15,2,Level 2,god,skanda,0
116,Mahabharata,17,2,Level 2,god,fire-god,0
117,Mahabharata,18,2,Level 2,god,associated,0
118,Mahabharata,19,1,Level 1,god,justice,53
119,Mahabharata,21,2,Level 2,god,truth.,0
120,Mahabharata,22,2,Level 2,god,illustrious,0
121,Mahabharata,23,2,Level 2,god,dharma,0
122,Mahabharata,24,2,Level 2,god,sudra,0
123,Mahabharata,25,1,Level 1,god,agni,196
124,Mahabharata,26,2,Level 2,god,indra,0
125,Mahabharata,27,2,Level 2,god,eater,0
126,Mahabharata,28,2,Level 2,god,carrier,0
127,Meditation,0,0,Level 0,god,god,49
128,Meditation,1,1,Level 1,god,embrace,6
129,Meditation,2,2,Level 2,god,approve,0
130,Meditation,3,2,Level 2,god,happen,0
131,Meditation,4,2,Level 2,god,inclination,0
132,Meditation,6,2,Level 2,god,kept,0
133,Meditation,7,1,Level 1,god,appointment,8
134,Meditation,8,2,Level 2,god,happened,0
135,Meditation,9,2,Level 2,god,fugitive,0
136,Meditation,10,2,Level 2,god,afraid,0
137,Meditation,11,2,Level 2,god,order,0
138,Meditation,12,2,Level 2,god,vanity,0
139,Meditation,13,1,Level 1,god,approve,5
140,Meditation,14,2,Level 2,god,advice,0
141,Meditation,16,2,Level 2,god,send,0
142,Meditation,17,2,Level 2,god,forbear,0
143,Meditation,18,2,Level 2,god,grow,0
144,Meditation,19,1,Level 1,god,charitable,7
145,Meditation,21,2,Level 2,god,error,0
146,Meditation,22,2,Level 2,god,minds,0
147,Meditation,23,2,Level 2,god,reservation,0
148,Meditation,24,2,Level 2,god,transgress,0
149,Meditation,25,1,Level 1,god,carefully,8
150,Meditation,26,2,Level 2,god,observe,0
151,Meditation,27,2,Level 2,god,dispositions,0
152,Meditation,28,2,Level 2,god,although,0
153,Meditation,29,2,Level 2,god,inclinations,0
154,Meditation,30,2,Level 2,god,rectify,0
155,Gospel of Buddha,0,0,Level 0,love,love,67
156,Gospel of Buddha,1,1,Level 1,love,secrecy,6
157,Gospel of Buddha,2,2,Level 2,love,claim,0
158,Gospel of Buddha,3,2,Level 2,love,seek,0
159,Gospel of Buddha,4,2,Level 2,love,possession,0
160,Gospel of Buddha,5,2,Level 2,love,disciples,0
161,Gospel of Buddha,6,2,Level 2,love,priests,0
162,Gospel of Buddha,7,1,Level 1,love,filled,23
163,Gospel of Buddha,8,2,Level 2,love,dark,0
164,Gospel of Buddha,9,2,Level 2,love,vanished,0
165,Gospel of Buddha,11,2,Level 2,love,around,0
166,Gospel of Buddha,12,2,Level 2,love,gave,0
167,Gospel of Buddha,13,1,Level 1,love,grow,10
168,Gospel of Buddha,14,2,Level 2,love,seed,0
169,Gospel of Buddha,15,2,Level 2,love,passions,0
170,Gospel of Buddha,16,2,Level 2,love,aspirations,0
171,Gospel of Buddha,17,2,Level 2,love,except,0
172,Gospel of Buddha,18,2,Level 2,love,faults,0
173,Gospel of Buddha,19,1,Level 1,love,dark,5
174,Gospel of Buddha,20,2,Level 2,love,torch,0
175,Gospel of Buddha,21,2,Level 2,love,carry,0
176,Gospel of Buddha,22,2,Level 2,love,blow,0
177,Gospel of Buddha,23,2,Level 2,love,light,0
178,Gospel of Buddha,24,2,Level 2,love,strange,0
179,Gospel of Buddha,25,1,Level 1,love,beyond,8
180,Gospel of Buddha,26,2,Level 2,love,hence,0
181,Gospel of Buddha,27,2,Level 2,love,follows,0
182,Gospel of Buddha,28,2,Level 2,love,inheritance,0
183,Gospel of Buddha,29,2,Level 2,love,saviour,0
184,Gospel of Buddha,30,2,Level 2,love,success,0
185,Gita,0,0,Level 0,love,love,29
186,Gita,1,1,Level 1,love,always,7
187,Gita,2,2,Level 2,love,separate,0
188,Gita,3,2,Level 2,love,doeth,0
189,Gita,4,2,Level 2,love,fast,0
190,Gita,5,2,Level 2,love,hand,0
191,Gita,6,2,Level 2,love,hearing,0
192,Gita,7,1,Level 1,love,joys,5
193,Gita,8,2,Level 2,love,heat,0
194,Gita,9,2,Level 2,love,white,0
195,Gita,10,2,Level 2,love,dwelling,0
196,Gita,11,2,Level 2,love,sure,0
197,Gita,12,2,Level 2,love,anger,0
198,Gita,13,1,Level 1,love,water,5
199,Gita,14,2,Level 2,love,moon,0
200,Gita,15,2,Level 2,love,taste,0
201,Gita,16,2,Level 2,love,air,0
202,Gita,17,2,Level 2,love,manifest,0
203,Gita,18,2,Level 2,love,offering,0
204,Gita,19,1,Level 1,love,gold,6
205,Gita,21,2,Level 2,love,seen,0
206,Gita,22,2,Level 2,love,word,0
207,Gita,23,2,Level 2,love,sun,0
208,Gita,24,2,Level 2,love,show,0
209,Gita,25,1,Level 1,love,meditation,10
210,Gita,26,2,Level 2,love,heedless,0
211,Gita,27,2,Level 2,love,steadfastly,0
212,Gita,28,2,Level 2,love,vowed,0
213,Gita,29,2,Level 2,love,sake,0
214,Gita,30,2,Level 2,love,profit,0
215,King James Bible,0,0,Level 0,love,love,311
216,King James Bible,1,1,Level 1,love,abound,19
217,King James Bible,2,2,Level 2,love,christ,0
218,King James Bible,4,2,Level 2,love,believing,0
219,King James Bible,5,2,Level 2,love,always,0
220,King James Bible,6,2,Level 2,love,grace,0
221,King James Bible,7,1,Level 1,love,hate,87
222,King James Bible,8,2,Level 2,love,wrongfully,0
223,King James Bible,10,2,Level 2,love,abhor,0
224,King James Bible,11,2,Level 2,love,enemies,0
225,King James Bible,12,2,Level 2,love,hatest,0
226,King James Bible,13,1,Level 1,love,commandments,171
227,King James Bible,14,2,Level 2,love,statutes,0
228,King James Bible,15,2,Level 2,love,keep,0
229,King James Bible,16,2,Level 2,love,judgments,0
